"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"156","CF120_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.944444444444444,0
"157","CFAB_HUMAN","AR_vs_STA",1.52921214941639,0.412933572728818,3.70328849580041,10,0.00408627580692844,0.143310673830562,NA,0.67018779342723,0.416666666666667
"158","CFAD_HUMAN","AR_vs_STA",0.351148395982337,0.888923144751521,0.395026722001363,7,0.704583897598367,0.836988925334973,NA,0.926666666666667,0.106666666666667
"159","CFAH_HUMAN","AR_vs_STA",0.626586226987146,0.494830881141578,1.26626338586955,9,0.237209848151136,0.471942391798469,NA,0.822530864197531,0.263888888888889
"160","CFAI_HUMAN","AR_vs_STA",-0.858459169010954,0.442140795373615,-1.94159683520165,10,0.0808667599077721,0.293608543665142,NA,0.623655913978495,0.365591397849462
"161","CHL1_HUMAN","AR_vs_STA",-0.883397590686617,0.793946658548099,-1.11266617369749,6,0.308433410160003,0.523671113652954,NA,0.833333333333333,0.233333333333333
"162","CHM1B_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.75,0
"163","CHM4B_HUMAN","AR_vs_STA",-1.0510312238335,0.435118992361917,-2.41550298259399,4,0.0731178981128573,0.282404845030351,NA,0.666666666666667,0.166666666666667
"164","CHMP5_HUMAN","AR_vs_STA",-0.657292138724672,0.501617375018547,-1.31034563685193,4,0.260255489832387,0.486506818023597,NA,0.75,0
"165","CILP1_HUMAN","AR_vs_STA",0.112029029078947,0.266134757576382,0.42094850781298,2,0.714714271629787,0.843362840523148,NA,0.895833333333333,0.0625
